Day,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10
1,아이폰,의자,냉장고,가방,침대,에어컨,선반,샤넬,팔찌,세대
2,아이폰,냉장고,의자,선반,가방,침대,에어컨,테이블,,에어팟
3,아이폰,냉장고,가방,의자,선반,테이블,컴퓨터,지갑,에어팟,샤넬
4,아이폰,냉장고,가방,의자,테이블,티,샤넬,지갑,컴퓨터,에어팟
5,아이폰,냉장고,테이블,가방,의자,에어팟,샤넬,에어컨,컴퓨터,지갑
6,아이폰,냉장고,테이블,가방,상품권,의자,에어팟,지갑,선반,수납
7,아이폰,의자,가방,테이블,냉장고,선반,지갑,수납,낚시,자전거
8,아이폰,의자,테이블,가방,지갑,냉장고,선반,컴퓨터,티,낚시
9,아이폰,의자,테이블,냉장고,선반,가방,컴퓨터,지갑,상품권,티
10,아이폰,냉장고,선반,의자,컴퓨터,테이블,자전거,수납,캠핑,가방
11,아이폰,자전거,테이블,냉장고,에어팟,선반,가방,의자,수납,컴퓨터
12,아이폰,냉장고,자전거,테이블,선반,의자,세탁기,에어컨,에어팟,컴퓨터
13,아이폰,냉장고,선반,자전거,에어팟,가방,의자,에어컨,컴퓨터,세탁기
14,아이폰,냉장고,자전거,선반,가방,에어컨,에어팟,의자,컴퓨터,세탁기
15,아이폰,냉장고,자전거,에어컨,컴퓨터,세탁기,선반,지갑,에어팟,의자
16,아이폰,냉장고,자전거,컴퓨터,선반,지갑,워치,의자,에어컨,테이블
17,아이폰,냉장고,선반,자전거,가방,컴퓨터,워치,노트북,지갑,캠핑
18,아이폰,냉장고,의자,선반,자전거,테이블,가방,캠핑,상품권,수납
19,아이폰,냉장고,의자,자전거,상품권,에어컨,캠핑,가방,선반,테이블
20,아이폰,자전거,의자,상품권,냉장고,테이블,캠핑,워치,선반,침대
21,아이폰,의자,선물,냉장고,선반,캠핑,자전거,워치,상품권,컴퓨터
22,아이폰,의자,테이블,컴퓨터,자전거,냉장고,에어팟,모니터,가방,에어컨
23,아이폰,,테이블,캠핑,,에어팟,컴퓨터,자전거,의자,상품권
24,아이폰,,상품권,의자,자전거,나이키,가방,에어팟,컴퓨터,스팸
25,아이폰,에어팟,상품권,가방,의자,컴퓨터,선반,자전거,티비,샤넬
26,아이폰,가방,에어팟,샤넬,선반,의자,자전거,컴퓨터,티,상품권
27,아이폰,에어팟,가방,컴퓨터,의자,샤넬,상품권,테이블,선반,자켓
28,아이폰,상품권,에어팟,선반,스팸,가방,컴퓨터,의자,워치,지갑
29,아이폰,상품권,스팸,가방,선반,에어팟,의자,자전거,컴퓨터,참치
30,아이폰,상품권,가방,선반,자전거,컴퓨터,에어팟,노트,스팸,테이블
31,아이폰,상품권,가방,선반,에어팟,테이블,컴퓨터,스팸,골프,의자
32,아이폰,상품권,스팸,선반,가방,냉장고,에어팟,의자,컴퓨터,참치
33,아이폰,상품권,선반,가방,에어팟,컴퓨터,냉장고,스팸,테이블,의자
34,아이폰,상품권,스팸,가방,선반,냉장고,에어팟,의자,컴퓨터,테이블
35,아이폰,냉장고,상품권,가방,선반,자전거,스팸,의자,패딩,에어팟
36,아이폰,가방,냉장고,상품권,자전거,패딩,모니터,에어팟,,스팸
37,아이폰,가방,에어팟,냉장고,상품권,패딩,의자,자전거,모니터,
38,아이폰,가방,패딩,선반,에어팟,옷,워치,냉장고,지갑,베드
39,아이폰,선반,상품권,가방,패딩,여성,냉장고,에어팟,워치,자켓
40,아이폰,에어팟,가방,패딩,자켓,선반,냉장고,의자,,테이블
41,아이폰,에어팟,패딩,가방,옷,냉장고,자켓,워치,골프,후드
42,아이폰,에어팟,상품권,패딩,워치,냉장고,바람막이,가방,컴퓨터,선반
43,아이폰,자전거,선반,가방,테이블,의자,냉장고,패딩,워치,캠핑
44,아이폰,자전거,가방,패딩,캠핑,냉장고,의자,침대,자켓,에어팟
45,아이폰,가방,냉장고,패딩,자전거,캠핑,침대,상품권,선반,자켓
46,아이폰,가방,패딩,냉장고,캠핑,선반,자켓,컴퓨터,자전거,
47,아이폰,캠핑,자켓,냉장고,가방,패딩,선반,,의자,니트
48,아이폰,패딩,가방,의자,자켓,냉장고,집업,상품권,후드,니트
49,아이폰,에어팟,패딩,상품권,니트,의자,후드,자켓,집업,냉장고
50,아이폰,의자,패딩,자전거,냉장고,캠핑,선반,세탁기,자켓,가방
51,아이폰,의자,냉장고,자전거,패딩,가방,세탁기,캠핑,테이블,선반
52,아이폰,가방,의자,냉장고,패딩,자전거,캠핑,테이블,세탁기,컴퓨터
53,아이폰,가방,의자,패딩,상품권,에어팟,냉장고,테이블,선반,
54,아이폰,선반,패딩,냉장고,가방,에어팟,의자,세탁기,테이블,상품권
55,아이폰,선반,에어팟,가방,패딩,의자,냉장고,상품권,테이블,후드
56,아이폰,선반,패딩,냉장고,가방,에어팟,테이블,의자,후드,상품권
57,아이폰,패딩,선반,에어팟,냉장고,상품권,테이블,의자,후드,가방
58,아이폰,패딩,에어팟,선반,냉장고,자켓,가방,,후드,상품권
59,아이폰,패딩,선반,냉장고,에어팟,후드,워치,자켓,침대,상품권
60,아이폰,패딩,에어팟,선반,냉장고,자켓,후드,돈,골프,제
61,아이폰,패딩,선반,에어팟,후드,테이블,냉장고,자켓,모니터,컴퓨터
62,아이폰,패딩,에어팟,테이블,후드,선반,냉장고,지갑,자켓,의자
63,아이폰,패딩,에어팟,노스페이스,지갑,테이블,냉장고,의자,니트,돈
64,아이폰,패딩,의자,지갑,에어팟,테이블,코트,냉장고,니트,
65,아이폰,패딩,에어팟,냉장고,의자,테이블,지갑,가방,컴퓨터,서랍
66,패딩,아이폰,에어팟,냉장고,지갑,테이블,가방,,,노스페이스
67,패딩,아이폰,냉장고,노스페이스,돈,코트,자켓,에어팟,가방,서랍
68,패딩,아이폰,노스페이스,냉장고,가방,에어팟,자켓,코트,아디다스,
69,패딩,아이폰,노스페이스,니트,가방,자켓,다운,컴퓨터,코트,테이블
70,패딩,아이폰,선반,가방,냉장고,지갑,컴퓨터,노스페이스,자켓,에어팟
71,패딩,아이폰,에어팟,선반,냉장고,가방,테이블,컴퓨터,노스페이스,자켓
72,패딩,아이폰,에어팟,선반,가방,냉장고,테이블,자켓,노스페이스,컴퓨터
73,패딩,아이폰,에어팟,노스페이스,냉장고,테이블,지갑,컴퓨터,선반,가방
74,패딩,아이폰,냉장고,모니터,노스페이스,에어팟,코트,자켓,컴퓨터,선반
75,패딩,아이폰,노스페이스,가방,어그,컴퓨터,냉장고,조끼,자켓,
76,패딩,아이폰,선반,노스페이스,컴퓨터,가방,에어팟,루이비통,조끼,후드
77,패딩,아이폰,에어팟,,자켓,노스페이스,가방,컴퓨터,바지,아디다스
78,패딩,아이폰,상품권,에어팟,자켓,코트,노스페이스,컴퓨터,가방,선반
79,패딩,아이폰,노스페이스,선반,자켓,바지,에어팟,옷,가방,코트
80,패딩,아이폰,에어팟,루이비통,노스페이스,코트,지갑,의자,자켓,니트
81,패딩,아이폰,지갑,가방,루이비통,니트,코트,노스페이스,에어팟,구찌
82,패딩,아이폰,에어팟,자켓,노스페이스,루이비통,니트,가방,지갑,히터
83,패딩,아이폰,에어팟,루이비통,지갑,노스페이스,가방,자켓,컴퓨터,
84,패딩,아이폰,에어팟,선반,자켓,루이비통,테이블,지갑,냉장고,가방
85,패딩,아이폰,에어팟,냉장고,컴퓨터,테이블,코트,상품권,청소기,자켓
86,패딩,아이폰,에어팟,컴퓨터,냉장고,의자,청소기,자켓,테이블,
87,패딩,아이폰,에어팟,자켓,컴퓨터,코트,테이블,의자,청소기,
88,패딩,아이폰,상품권,컴퓨터,의자,냉장고,지갑,선반,자켓,가방
89,패딩,아이폰,선반,의자,컴퓨터,냉장고,상품권,지갑,루이비통,워치
90,패딩,아이폰,의자,상품권,냉장고,자켓,가방,컴퓨터,루이비통,선반
91,아이폰,패딩,의자,냉장고,상품권,코트,루이비통,자켓,,노스페이스
92,패딩,아이폰,선반,냉장고,상품권,코트,가방,의자,루이비통,테이블
93,패딩,아이폰,선반,테이블,냉장고,코트,컴퓨터,상품권,디올,의자
94,패딩,아이폰,선반,컴퓨터,니트,테이블,에어팟,코트,냉장고,옷
95,패딩,아이폰,선반,니트,테이블,상품권,노스페이스,에어팟,컴퓨터,의자
96,패딩,아이폰,선반,상품권,노스페이스,에어팟,니트,옷,가방,지갑
97,패딩,아이폰,선반,상품권,지갑,노스페이스,가방,에어팟,옷,컴퓨터
98,패딩,아이폰,상품권,선반,에어팟,노스페이스,세탁기,,옷,코트
99,패딩,아이폰,상품권,에어팟,가방,,노스페이스,니트,테이블,부츠
100,패딩,아이폰,노스페이스,선반,에어팟,지갑,상품권,테이블,가방,냉장고
101,패딩,아이폰,상품권,노스페이스,코트,모니터,선반,가방,에어팟,냉장고
102,패딩,아이폰,상품권,선반,가방,니트,테이블,코트,에어팟,
103,아이폰,패딩,상품권,선반,테이블,에어팟,의자,니트,지갑,루이비통
104,패딩,아이폰,상품권,테이블,컴퓨터,에어팟,루이비통,냉장고,지갑,가방
105,아이폰,패딩,의자,가방,냉장고,컴퓨터,상품권,루이비통,지갑,에어팟
106,아이폰,패딩,냉장고,컴퓨터,테이블,에어팟,가방,팩,지갑,니트
107,선반,패딩,아이폰,꽃다발,상품권,서랍,의자,전자레인지,생화,냉장고
108,선반,전자레인지,서랍,의자,패딩,,,냉장고,청소기,아이폰
109,선반,서랍,전자레인지,패딩,아이폰,의자,냉장고,제습기,자전거,청소기
110,선반,냉장고,아이폰,전자레인지,서랍,세탁기,패딩,의자,가방,전자렌지
111,선반,냉장고,아이폰,전자레인지,의자,패딩,서랍,세탁기,제습기,전자렌지
112,냉장고,선반,서랍,전자레인지,세탁기,아이폰,에어컨,의자,상품권,청소기
113,선반,냉장고,아이폰,서랍,세탁기,의자,패딩,에어컨,전자레인지,
114,냉장고,선반,의자,세탁기,서랍,아이폰,제습기,에어컨,전자레인지,패딩
115,냉장고,선반,의자,전자레인지,아이폰,제습기,서랍,세탁기,패딩,청소기
116,선반,냉장고,아이폰,제습기,전자레인지,세탁기,패딩,서랍,의자,청소기
117,냉장고,선반,세탁기,전자레인지,의자,제습기,아이폰,서랍,이케아,상품권
118,냉장고,선반,세탁기,의자,서랍,전자레인지,아이폰,에어컨,,원목
119,선반,냉장고,의자,세탁기,서랍,전자레인지,아이폰,패딩,청소기,에어컨
120,선반,냉장고,의자,세탁기,아이폰,서랍,전자레인지,,청소기,원목
121,선반,냉장고,의자,아이폰,전자레인지,그냥,패딩,티비,세탁기,제습기
122,선반,냉장고,의자,아이폰,패딩,세탁기,가방,전자레인지,테이블,티비
123,선반,냉장고,아이폰,패딩,의자,세탁기,가방,서랍,테이블,티비
124,선반,냉장고,아이폰,가방,의자,세탁기,서랍,그냥,패딩,
125,선반,아이폰,냉장고,의자,패딩,가방,전자레인지,서랍,티비,세탁기
126,선반,아이폰,냉장고,전자레인지,,의자,서랍,상품권,티비,세탁기
127,선반,냉장고,전자레인지,의자,서랍,아이폰,세탁기,,가방,청소기
128,선반,전자레인지,냉장고,서랍,의자,아이폰,모빌,패딩,타이,세탁기
129,선반,냉장고,의자,아이폰,상품권,전자레인지,에어컨,청소기,세탁기,가방
130,선반,냉장고,의자,전자레인지,아이폰,세탁기,모빌,타이,상품권,에어컨
131,선반,냉장고,의자,전자레인지,모빌,아이폰,타이,에어컨,곶감,가게
132,선반,의자,냉장고,아이폰,에어컨,전자레인지,상품권,세탁기,사과,쌀
133,선반,아이폰,냉장고,전자레인지,의자,상품권,컴퓨터,자전거,제습기,서랍
134,선반,상품권,전자레인지,아이폰,냉장고,의자,에어컨,곶감,사과,타이
135,선반,의자,냉장고,아이폰,전자레인지,상품권,서랍,참치,컴퓨터,사과
136,선반,상품권,배,냉장고,사과,스팸,전자레인지,모빌,곶감,타이
137,배,상품권,선반,사과,스팸,냉장고,참치,의자,곶감,전자레인지
138,선반,상품권,배,스팸,사과,참치,아이폰,냉장고,곶감,전자레인지
139,선반,스팸,상품권,모빌,타이,서랍,아이폰,제습기,참치,냉장고
140,상품권,선반,모빌,타이,스팸,쌀,참치,아이폰,서랍,패딩
141,상품권,선반,스팸,냉장고,아이폰,서랍,모빌,타이,참치,전자레인지
142,상품권,선반,아이폰,모빌,냉장고,타이,쌀,스팸,전자레인지,참치
143,선반,상품권,모빌,타이,아이폰,냉장고,쌀,제습기,전자레인지,스팸
144,선반,모빌,전자레인지,타이,냉장고,상품권,아이폰,쌀,서랍,의자
145,모빌,타이,선반,전자레인지,상품권,아이폰,냉장고,의자,쌀,에어컨
146,선반,모빌,상품권,타이,전자레인지,냉장고,아이폰,의자,제습기,쌀
147,냉장고,선반,모빌,타이,전자레인지,의자,아이폰,상품권,제습기,서랍
148,선반,의자,냉장고,전자레인지,상품권,모빌,제습기,아이폰,타이,서랍
149,선반,냉장고,전자레인지,의자,아이폰,모빌,제습기,타이,상품권,테이블
150,선반,냉장고,전자레인지,의자,세탁기,모빌,타이,제습기,서랍,아이폰
151,전자레인지,선반,냉장고,의자,제습기,세탁기,모빌,타이,아이폰,상품권
152,선반,전자레인지,냉장고,아이폰,의자,모빌,타이,상품권,제습기,세탁기
153,선반,전자레인지,모빌,냉장고,타이,제습기,의자,상품권,세탁기,아이폰
154,선반,모빌,아이폰,타이,전자레인지,상품권,냉장고,제습기,의자,청소기
155,제습기,아이폰,선반,냉장고,전자레인지,의자,상품권,모빌,타이,세탁기
156,선반,전자레인지,아이폰,모빌,청소기,냉장고,제습기,의자,타이,상품권
157,선반,아이폰,냉장고,의자,모빌,상품권,전자레인지,제습기,타이,청소기
158,선반,모빌,청소기,제습기,아이폰,타이,냉장고,쌀,가방,전자레인지
159,아이폰,모빌,타이,선반,전자레인지,서랍,청소기,제습기,의자,자전거
160,선반,의자,아이폰,타이,모빌,서랍,청소기,에어컨,테이블,냉장고
161,선반,타이,모빌,에어컨,아이폰,의자,제습기,청소기,테이블,서랍
162,선반,모빌,타이,의자,아이폰,청소기,냉장고,전자레인지,제습기,에어컨
163,선반,타이,모빌,아이폰,냉장고,의자,에어컨,서랍,테이블,전자레인지
164,선반,냉장고,모빌,의자,타이,전자레인지,테이블,제습기,아이폰,책장
165,선반,아이폰,제습기,냉장고,의자,타이,모빌,자전거,서랍,전자레인지
166,아이폰,선반,냉장고,제습기,의자,상품권,타이,모빌,전자레인지,에어컨
167,아이폰,선반,의자,냉장고,모빌,타이,에어컨,상품권,제습기,테이블
168,아이폰,모빌,냉장고,의자,타이,에어컨,선반,테이블,자전거,전자레인지
169,아이폰,모빌,타이,냉장고,의자,에어컨,선반,전자레인지,자전거,테이블
170,아이폰,모빌,타이,냉장고,전자레인지,에어컨,선반,자전거,향수,서랍
171,선반,자전거,아이폰,모빌,타이,제습기,향수,에어컨,서랍,의자
172,선반,모빌,의자,자전거,타이,냉장고,아이폰,에어컨,상품권,전자레인지
173,모빌,타이,자전거,선반,에어컨,냉장고,의자,상품권,아이폰,향수
174,자전거,선반,냉장고,모빌,에어컨,타이,아이폰,의자,상품권,서랍
175,모빌,자전거,선반,타이,냉장고,에어컨,아이폰,의자,청소기,
176,냉장고,모빌,에어컨,선반,타이,아이폰,청소기,자전거,제발,상품권
177,선반,냉장고,자전거,제습기,모빌,에어컨,타이,청소기,아이폰,의자
178,선반,에어컨,자전거,냉장고,모빌,청소기,타이,아이폰,제습기,전자레인지
179,선반,냉장고,에어컨,자전거,아이폰,타이,모빌,청소기,의자,쌀
180,선반,냉장고,에어컨,,,,자전거,의자,청소기,세탁기
181,냉장고,의자,선반,아이폰,에어컨,쌀,자전거,모빌,타이,제습기
182,냉장고,선반,모빌,에어컨,자전거,타이,의자,아이폰,테이블,전자레인지
183,냉장고,아이폰,에어컨,선반,타이,모빌,의자,자전거,제습기,테이블
184,냉장고,선반,아이폰,에어컨,자전거,테이블,타이,모빌,제습기,의자
185,선반,냉장고,아이폰,에어컨,자전거,타이,모빌,테이블,제습기,서랍
186,냉장고,선반,아이폰,자전거,의자,테이블,에어컨,타이,모빌,제습기
187,냉장고,선반,아이폰,제습기,모빌,테이블,쌀,타이,가방,자전거
188,선반,냉장고,아이폰,제습기,에어컨,쌀,타이,모빌,가방,의자
189,선반,냉장고,아이폰,에어컨,제습기,쌀,자전거,가방,세탁기,향수
190,선반,냉장고,에어컨,자전거,쌀,아이폰,가방,제습기,향수,의자
191,선반,자전거,냉장고,에어컨,제습기,두릅,쌀,가방,타이,모빌
192,선반,에어컨,냉장고,자전거,가방,두릅,제습기,의자,골프,쌀
193,선반,냉장고,두릅,자전거,쌀,에어컨,의자,제습기,가방,모빌
194,선반,에어컨,자전거,냉장고,의자,두릅,아이폰,쌀,가방,제습기
195,선반,냉장고,에어컨,두릅,제습기,의자,자전거,아이폰,쌀,청소기
196,두릅,선반,자전거,냉장고,의자,에어컨,테이블,가방,제습기,아이폰
197,두릅,자전거,선반,산,에어컨,냉장고,의자,제습기,쌀,테이블
198,자전거,선반,두릅,에어컨,의자,제습기,아이폰,냉장고,테이블,캠핑
199,에어컨,당근,냉장고,자전거,의자,,선반,아이폰,제습기,테이블
200,에어컨,자전거,당근,의자,선반,냉장고,테이블,아이폰,골프,지갑
201,당근,에어컨,선글라스,냉장고,,몬스터,아이폰,자전거,지갑,의자
202,당근,자전거,에어컨,선반,냉장고,의자,선글라스,테이블,가방,
203,자전거,냉장고,에어컨,의자,선반,아이폰,사용,선글라스,가방,테이블
204,자전거,선반,냉장고,아이폰,에어컨,제습기,의자,테이블,가방,
205,냉장고,에어컨,자전거,선반,아이폰,제습기,의자,테이블,가방,모빌
206,냉장고,에어컨,아이폰,자전거,의자,선반,청소기,가방,테이블,제습기
207,냉장고,의자,에어컨,자전거,선반,아이폰,테이블,가방,서랍,쌀
208,냉장고,의자,자전거,에어컨,아이폰,테이블,선반,제습기,가방,캠핑
209,냉장고,의자,에어컨,아이폰,제습기,자전거,선반,테이블,,캠핑
210,냉장고,의자,선반,에어컨,테이블,아이폰,자전거,캠핑,제습기,청소기
211,냉장고,선반,자전거,의자,에어컨,제습기,쌀,가방,아이폰,테이블
212,자전거,선반,냉장고,에어컨,골프,쌀,제습기,테이블,의자,가방
213,자전거,에어컨,냉장고,선반,의자,골프,가방,제습기,상품권,테이블
214,자전거,냉장고,에어컨,아이폰,상품권,선반,가방,테이블,의자,모빌
215,자전거,선반,에어컨,제습기,상품권,냉장고,쌀,아이폰,마늘,쫑
